desc_apertura;desc_prog;desc_inc;desc_prin;cred_ini;cred_vig;cred_comp;cred_pag;cred_dev;cred_disp
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de La Paz, Entre Ríos (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;67.149;67.149;0;0;0;67.149
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de La Paz, Entre Ríos (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;9.474.853;9.474.853;0;0;0;4.474.853
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de La Paz, Entre Ríos (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;0;0;0;-4.474.853
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de La Paz, Entre Ríos (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-9.474.853;0;0;0;0
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Posadas, Misiones (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;67.149;67.149;0;0;0;67.149
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Posadas, Misiones (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;13.324.222;13.324.222;0;0;0;8.324.222
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Posadas, Misiones (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-5.000.000;0;0;0;0
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Rosario, Rosario, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;67.149;67.149;0;0;0;67.149
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Rosario, Rosario, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;5.859.227;5.859.227;0;0;0;2.859.227
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Rosario, Rosario, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-3.000.000;0;0;0;0
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Santa Fe, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;67.149;67.149;0;0;0;67.149
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Santa Fe, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;4.717.765;4.717.765;0;0;0;4.717.765
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Santa Fe, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;0;0;0;-2.057.780
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de Santa Fe, Santa Fé (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-2.057.780;0;0;0;0
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de la Ciudad de Corrientes, Corrientes (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;67.149;67.149;0;0;0;67.149
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de la Ciudad de Corrientes, Corrientes (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;9.457.273;9.457.273;0;0;0;3.307.729
"Adecuación Corredor Fluvial: Equipamiento Turístico Terminal Portuaria de la Ciudad de Corrientes, Corrientes (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-6.149.544;0;0;0;0
"Adecuación Turística de los Conjuntos Declarados Patrimonio de la Humanidad por Unesco, Provincia de Córdoba (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;36.002;36.002;0;0;0;36.002
Construcción Centro Cultural y Recreativo Carlos Pellegrini Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;72.001;72.001;0;0;0;72.001
Construcción Centro Cultural y Recreativo Carlos Pellegrini Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;5.131.939;5.131.939;0;0;0;5.131.939
Construcción Centro Cultural y Recreativo Carlos Pellegrini Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;5.131.939;5.131.939;5.131.939;-5.131.939
Construcción Centro Cultural y Recreativo Carlos Pellegrini Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;17.426.100;0;0;0;17.426.100
Construcción Centro de Interpretación Arqueológico - Barrancas - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;57.601;57.601;0;0;0;57.601
Construcción Centro de Interpretación Arqueológico - Barrancas - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;28.843.040;28.843.040;0;0;0;28.843.040
Construcción Centro de Interpretación Arqueológico - Barrancas - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;1.238.258;1.238.258;1.238.258;-1.238.258
Construcción Centro de Interpretación Arqueológico - Barrancas - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;350.228;350.228;350.228;350.228;350.228;0
Construcción Centro de Interpretación Aventura Iberá - Loreto - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;14.400;14.400;0;0;0;14.400
Construcción Centro de Interpretación Aventura Iberá - Loreto - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;12.129.197;12.129.197;0;0;0;450.007
Construcción Centro de Interpretación Aventura Iberá - Loreto - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-11.679.190;0;0;0;0
Construcción Centro de Interpretación Aventura Iberá - Loreto - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;9.088.903;9.088.903;544.936;536.583;536.583;5.067
Construcción Centro de Interpretación Aventura Iberá - Loreto - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-8.538.900;0;0;0;0
Construcción Centro de Interpretación de la Cultura y la Biodiversidad del Impenetrable - Miraflores - Provincia de Chaco (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;14.400;14.400;0;0;0;14.400
Construcción Centro de Interpretación de la Cultura y la Biodiversidad del Impenetrable - Miraflores - Provincia de Chaco (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;8.966.087;8.966.087;0;0;0;8.966.087
Construcción Centro de Interpretación de la Cultura y la Biodiversidad del Impenetrable - Miraflores - Provincia de Chaco (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;6.000.000;0;0;0;6.000.000
Construcción Centro de Interpretación de la Cultura y la Biodiversidad del Impenetrable - Miraflores - Provincia de Chaco (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;5.389.100;5.389.100;0;0;0;0
Construcción Centro de Interpretación de la Cultura y la Biodiversidad del Impenetrable - Miraflores - Provincia de Chaco (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-5.389.100;0;0;0;0
Construcción Centro de Interpretación para Camping Laguna de Plata - La Para - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;21.450.000;21.450.000;0;0;0;21.450.000
Construcción Centro de Interpretación para Camping Laguna de Plata - La Para - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;34.622.577;0;0;0;34.622.577
Construcción Centro de Talasoterapia Mar de Anzenusa - Miramar de Ansenuza - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;57.600;57.600;0;0;0;57.600
Construcción Centro de Talasoterapia Mar de Anzenusa - Miramar de Ansenuza - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;11.393.467;11.393.467;0;0;0;10.893.467
Construcción Centro de Talasoterapia Mar de Anzenusa - Miramar de Ansenuza - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;0;0;0;-10.893.467
Construcción Centro de Talasoterapia Mar de Anzenusa - Miramar de Ansenuza - Córdoba (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-11.393.467;0;0;0;0
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;14.400;14.400;0;0;0;14.400
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;4.638.132;4.638.132;0;0;0;4.638.132
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;0;185.266;0;0;0;185.266
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;12.000.000;0;0;0;12.000.000
